,Length,Height
0,0,0.09
1,1,0.135
2,2,0.125
3,3,0.08
4,4,0.095
5,5,0.15
6,6,0.125
7,7,0.125
8,8,0.15
9,9,0.14
10,10,0.11
11,11,0.135
12,12,0.145
13,13,0.1
14,14,0.13
15,15,0.085
16,16,0.1
17,17,0.08
18,18,0.1
19,19,0.095
20,20,0.1
21,21,0.155
22,22,0.135
23,23,0.165
24,24,0.14
25,25,0.185
26,26,0.14
27,27,0.18
28,28,0.14
29,29,0.165
30,30,0.165
31,31,0.165
32,32,0.175
33,33,0.2
34,34,0.105
35,35,0.155
36,36,0.105
37,37,0.135
38,38,0.09
39,39,0.105
40,40,0.135
41,41,0.045
42,42,0.055
43,43,0.05
44,44,0.095
45,45,0.12
46,46,0.12
47,47,0.07
48,48,0.16
49,49,0.12
50,50,0.095
51,51,0.13
52,52,0.12
53,53,0.1
54,54,0.14
55,55,0.12
56,56,0.135
57,57,0.06
58,58,0.125
59,59,0.105
60,60,0.11
61,61,0.13
62,62,0.095
63,63,0.12
64,64,0.12
65,65,0.16
66,66,0.185
67,67,0.12
68,68,0.07
69,69,0.13
70,70,0.11
71,71,0.17
72,72,0.175
73,73,0.195
74,74,0.15
75,75,0.14
76,76,0.15
77,77,0.14
78,78,0.17
79,79,0.14
80,80,0.175
81,81,0.165
82,82,0.16
83,83,0.14
84,84,0.18
85,85,0.14
86,86,0.16
87,87,0.13
88,88,0.16
89,89,0.135
90,90,0.15
91,91,0.175
92,92,0.165
93,93,0.19
94,94,0.195
95,95,0.15
96,96,0.13
97,97,0.13
98,98,0.125
99,99,0.095
100,100,0.145
101,101,0.16
102,102,0.14
103,103,0.16
104,104,0.155
105,105,0.165
106,106,0.125
107,107,0.135
108,108,0.105
109,109,0.125
110,110,0.105
111,111,0.08
112,112,0.105
113,113,0.125
114,114,0.115
115,115,0.135
116,116,0.105
117,117,0.15
118,118,0.085
119,119,0.105
120,120,0.085
121,121,0.14
122,122,0.075
123,123,0.08
124,124,0.06
125,125,0.09
126,126,0.085
127,127,0.16
128,128,0.165
129,129,0.165
130,130,0.125
131,131,0.09
132,132,0.095
133,133,0.065
134,134,0.115
135,135,0.08
136,136,0.09
137,137,0.11
138,138,0.095
139,139,0.155
140,140,0.145
141,141,0.19
142,142,0.155
143,143,0.13
144,144,0.125
145,145,0.12
146,146,0.08
147,147,0.055
148,148,0.095
149,149,0.145
150,150,0.185
151,151,0.19
152,152,0.16
153,153,0.135
154,154,0.13
155,155,0.19
156,156,0.215
157,157,0.17
158,158,0.165
159,159,0.165
160,160,0.16
161,161,0.175
162,162,0.21
163,163,0.23
164,164,0.19
165,165,0.175
166,166,0.205
167,167,0.22
168,168,0.175
169,169,0.215
170,170,0.145
171,171,0.155
172,172,0.115
173,173,0.04
174,174,0.09
175,175,0.06
176,176,0.085
177,177,0.045
178,178,0.15
179,179,0.18
180,180,0.175
181,181,0.16
182,182,0.175
183,183,0.2
184,184,0.19
185,185,0.15
186,186,0.185
187,187,0.16
188,188,0.17
189,189,0.18
190,190,0.17
191,191,0.15
192,192,0.085
193,193,0.14
194,194,0.155
195,195,0.15
196,196,0.185
197,197,0.16
198,198,0.185
199,199,0.12
200,200,0.165
201,201,0.145
202,202,0.17
203,203,0.115
204,204,0.14
205,205,0.11
206,206,0.11
207,207,0.17
208,208,0.095
209,209,0.145
210,210,0.09
211,211,0.105
212,212,0.14
213,213,0.16
214,214,0.14
215,215,0.13
216,216,0.12
217,217,0.135
218,218,0.13
219,219,0.125
220,220,0.145
221,221,0.15
222,222,0.15
223,223,0.105
224,224,0.135
225,225,0.125
226,226,0.085
227,227,0.165
228,228,0.16
229,229,0.135
230,230,0.175
231,231,0.215
232,232,0.075
233,233,0.135
234,234,0.08
235,235,0.01
236,236,0.03
237,237,0.03
238,238,0.035
239,239,0.16
240,240,0.07
241,241,0.065
242,242,0.08
243,243,0.085
244,244,0.085
245,245,0.08
246,246,0.085
247,247,0.075
248,248,0.11
249,249,0.105
250,250,0.18
251,251,0.155
252,252,0.185
253,253,0.165
254,254,0.175
255,255,0.185
256,256,0.16
257,257,0.17
258,258,0.16
259,259,0.155
260,260,0.125
261,261,0.165
262,262,0.06
263,263,0.08
